nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.8309219764263,0.097952047451358
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.87095485613475,0.097157782678747
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.9109877358432,0.096359420883017
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.95102061555165,0.095556445292785
Vitamin D,Male,1-3 years,2004,Canada excluding territories,7.9910534952601,0.094750583949119
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.03108637496855,0.09394191344725
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.071119254677,0.093129033106222
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.11115213438544,0.092313703862415
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.15118501409389,0.091496176835605
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.19121789380234,0.090675903868061
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.23125077351079,0.089853249212294
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.27128365321924,0.089029011235284
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.31131653292769,0.088203184645191
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.35134941263614,0.087375354048301
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.39138229234458,0.086546554408817
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.43141517205303,0.085716862738094
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.47144805176148,0.084886151090681
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.51148093146993,0.084054929165728
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.55151381117838,0.083223422980558
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.59154669088683,0.08239173060644
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.63157957059528,0.08156019842672
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.67161245030372,0.080728977697144
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.71164533001217,0.07989814234711
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.75167820972062,0.079068312662742
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.79171108942907,0.078239423848461
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.83174396913752,0.077411493865238
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.87177684884597,0.076585053955166
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.91180972855441,0.075760469676715
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.95184260826287,0.074937391778654
Vitamin D,Male,1-3 years,2004,Canada excluding territories,8.99187548797131,0.074115980986861
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.03190836767976,0.073297581079013
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.07194124738821,0.072481203780603
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.11197412709666,0.071666911045064
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.15200700680511,0.070855934157461
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.19203988651356,0.07004799260361
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.232072766222,0.069242609809207
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.27210564593045,0.068440376800477
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.3121385256389,0.067642481449734
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.35217140534735,0.066847580021553
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.3922042850558,0.066055724602894
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.43223716476425,0.065269030604624
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.4722700444727,0.064486048857302
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.51230292418114,0.06370650112481
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.55233580388959,0.062931625418916
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.59236868359804,0.062161866854422
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.63240156330649,0.061395890022891
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.67243444301494,0.060633874760738
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.71246732272339,0.059878509817508
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.75250020243184,0.059127235168006
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.79253308214028,0.05838008628649
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.83256596184873,0.057639088561613
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.87259884155718,0.05690352042064
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.91263172126563,0.05617234319642
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.95266460097408,0.055446363942689
Vitamin D,Male,1-3 years,2004,Canada excluding territories,9.99269748068253,0.054727385923034
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.032730360391,0.054013029011859
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.0727632400994,0.053303319857571
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.1127961198079,0.05260114593884
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.1528289995163,0.051904345709638
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.1928618792248,0.051212385050819
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.2328947589332,0.050526805763979
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.2729276386417,0.049848191806826
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.3129605183501,0.0491745780118
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.3529933980586,0.048506075722269
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.393026277767,0.047846174903852
Vitamin D,Male,1-3 years,2004,Canada excluding territories,10.4330591574755,0.047191404526159
